EventTemplate,Occurrences
closing AMQP connection <*> (10.0.11.197:47078 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,15
accepting AMQP connection <*> (10.0.11.197:47128 -> 10.0.11.23:5672) ,12
<*> <*> (10.0.11.197:47128 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,12
closing AMQP connection <*> (10.0.11.197:47128 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,12
closing AMQP connection <*> (10.0.11.208:60058 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,13
accepting AMQP connection <*> (10.0.11.208:60114 -> 10.0.11.23:5672) ,23
<*> <*> (10.0.11.208:60114 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,23
closing AMQP connection <*> (10.0.11.208:60114 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,23
accepting AMQP connection <*> (10.0.11.208:35802 -> 10.0.11.23:5672) ,16
accepting AMQP connection <*> (10.0.11.197:48366 -> 10.0.11.23:5672) ,10
<*> <*> (10.0.11.208:35802 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,16
<*> <*> (10.0.11.197:48366 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,10
closing AMQP connection <*> (10.0.11.197:48366 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,10
accepting AMQP connection <*> (10.0.11.197:48374 -> 10.0.11.23:5672) ,14
<*> <*> (10.0.11.197:48374 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,14
closing AMQP connection <*> (10.0.11.197:48374 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,14
accepting AMQP connection <*> (10.0.11.197:48388 -> 10.0.11.23:5672) ,13
<*> <*> (10.0.11.197:48388 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,13
closing AMQP connection <*> (10.0.11.208:35802 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,16
accepting AMQP connection <*> (10.0.11.208:35832 -> 10.0.11.23:5672) ,15
<*> <*> (10.0.11.208:35832 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,15
closing AMQP connection <*> (10.0.11.197:48388 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,13
accepting AMQP connection <*> (10.0.11.197:48400 -> 10.0.11.23:5672) ,15
<*> <*> (10.0.11.197:48400 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,15
closing AMQP connection <*> (10.0.11.208:35832 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,15
